"Reference","Value","Footprint","Datasheet","Qty","#","Description"
"SW10","SW_DIP_x04","Button_Switch_THT:SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile","~","1","1","4x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol"
"SW2","SW_Reset","Button_Switch_THT:SW_Push_1P2T_Vertical_E-Switch_800UDP8P1A1M6","~","1","2","Switch, single pole double throw"
"C2,C20,C21,C22,C23,C24,C25,C26,C29,C32,C33,C34,C35,C39,C41,C45,C46,C47,C49,C52,C53,C56,C58,C59,C63,C64,C65,C66,C67,C68,C69,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","50","3",""
"C3,C13","10nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","2","4",""
"C17,C18","220pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","2","5",""
"C43,C61","100pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","2","6",""
"C48,C57","1nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","2","7",""
"C50","2.7nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","1","8",""
"C60","47pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","1","9",""
"C101","2200uF 16V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","1","10","Polarized capacitor"
"C1,C4,C6,C12,C40,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100","10uF 16V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","16","11",""
"C19","100uF 16V","Capacitor_THT:CP_Radial_Tantal_D8.0mm_P5.00mm","~","1","12",""
"J11","POWER","Connector_BarrelJack:BarrelJack_Kycon_KLDX-0202-xC_Horizontal","~","1","13","DC Barrel Jack with a PCB mounting"
"J12","VIDEO","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","~","1","14","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)"
"J13","AUDIO","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","15","Generic connector, single row, 01x02, script generated"
"J14","ResetHeader","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","16","Generic connector, single row, 01x02, script generated"
"J15,J16","PwrHeader","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","2","17","Generic connector, single row, 01x02, script generated"
"J17","+5VHeader","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","18","Generic connector, single row, 01x02, script generated"
"J18","SpeedHeader","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","19","Generic connector, single row, 01x02, script generated"
"J21","EXP_PWR","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","1","20","Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"CR4","1N4001","Diode_THT:D_DO-34_SOD68_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","1","21",""
"CR5,CR6,CR7,CR8","1N4148","Diode_THT:D_DO-34_SOD68_P10.16mm_Horizontal","~","4","22",""
"U1,Z51,Z52","74HCT08","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS08","3","23","-- mixed values --"
"U2","74HCT125","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS125","1","24","Quad buffer 3-State outputs"
"U7","74HCT393","Package_DIP:DIP-14_W7.62mm","74xx\74LS393.pdf","1","25","Dual BCD 4-bit counter"
"U46,Z32","74HCT00","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74ls00","2","26","-- mixed values --"
"Z5","74HCT10","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS10","1","27",""
"Z6","74HCT92","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS92","1","28","Divide by 12 counter"
"Z25","LM3900N","Package_DIP:DIP-14_W7.62mm","","1","29",""
"Z26","74HCT14","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS14","1","30",""
"Z31","74LS132","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS132","1","31",""
"Z33","74HCT04","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS04","1","32",""
"Z34,Z35","74HCT93","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS93","2","33","Divide by 2 & 8 counter"
"Z40,Z64,Z67","74HCT32","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS32","3","34",""
"Z41","74HCT30","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS30","1","35","8-input NAND"
"Z45,Z54","74HCT02","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74ls02","2","36",""
"Z47","74HCT132","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS132","1","37",""
"Z50","SN7404N","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS04","1","38",""
"Z53,Z63","74HCT74","Package_DIP:DIP-14_W7.62mm","74xx/74hc_hct74.pdf","2","39",""
"Z60","74HCT11","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS11","1","40",""
"Z65","74LS92","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS92","1","41","Divide by 12 counter"
"Z4,Z56","74HCT175","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS175","2","42",""
"Z8,Z27,Z29,Z36","74HCT157","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS157","4","43",""
"Z57","74HCT166","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS166","1","44",""
"Z59,Z66","74HCT367","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS367","2","45",""
"Z61","74HCT139","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","1","46",""
"Z9,Z10","uPD2114LC","Package_DIP:DIP-18_W7.62mm_Socket","~","2","47",""
"U11","74HCT273","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS273","1","48","8-bit D Flip-Flop, reset"
"U24,Z49,Z68","74HCT244","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf","3","49",""
"Z12,Z23","74HCT245","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS245","2","50",""
"U37,U42","28C256","Package_DIP:DIP-28_W15.24mm_Socket","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0006.pdf","2","51","Paged Parallel EEPROM 256Kb (32K x 8), DIP-28/SOIC-28"
"U15","AS6C1008-55PCN","Package_DIP:DIP-32_W15.24mm_Socket","https://www.alliancememory.com/wp-content/uploads/pdf/AS6C1008_Mar_2023V1.2.pdf","1","52","1-Mbit (128K X 8-bit) Low Power CMOS SRAM, single 2.7V ~ 5.5V power supply, 55ns, DIP-32"
"Z48","Z84C00-CPU","Package_DIP:DIP-40_W15.24mm_Socket","www.zilog.com/manage_directlink.php?filepath=docs/z80/um0080","1","53",""
"Z3","SN75452","Package_DIP:DIP-8_W7.62mm","~","1","54",""
"K1","G5V-1","Relay_THT:Relay_SPDT_Omron_G5V-1","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_1.pdf","1","55","Ultra-miniature, Highly Sensitive SPDT Relay for Signal Circuits"
"RN2","4K7 (4 array)","Resistor_THT:R_Array_SIP5","http://www.vishay.com/docs/31509/csc.pdf","1","56","4 resistor network, star topology, bussed resistors, small symbol"
"RN1","4K7 (8 array)","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf","1","57",""
"R1,R32","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","58",""
"R2","1K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","59",""
"R3,R4","7K5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","60",""
"R5","220K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","61",""
"R6","75R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","62",""
"R7","47R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","63",""
"R8,R75","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","64",""
"R9","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","65",""
"R10","270R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","66",""
"R11,R31,R34,R49","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","4","67",""
"R33,R51","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","68",""
"R35","680K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","69",""
"R36","1M8","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","70",""
"R38,R42","360K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","71",""
"R39","10R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","72",""
"R41,R55,R77,R80","4K7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","4","73","-- mixed values --"
"R43","560K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","74",""
"R44,R45,R46,R47,R50","470K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","5","75",""
"R52,R53","8K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","76",""
"R56,R57","910R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","77",""
"R37","220R 1/2W","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~","1","78",""
"Y1","10.6445MHz","TRS80:Crystal","~","1","79",""
"CN3","US KEYBOARD","TRS80:Keyboard JP","~","1","80","Generic connector, single row, 01x20, script generated (kicad-library-utils/schlib/autogen/connector/)"
"S1","POWER","TRS80:Switch","~","1","81",""
"P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12","~","TRS80IJP:Prototype_Area","","12","82",""
"C70","22uF 16V","TRS80:CP_Radial_D5.0mm_P2.50mm","~","1","83",""
"J2","VIDEO","TRS80:J2 - VIDEO OUT","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf","1","84",""
"J3","CASSETTE","TRS80:J3 - CASSETTE","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf","1","85",""
"S2","RESET","TRS80:S2","~","1","86",""
"Q1","2SC1815","TRS80:TO-92_Transistor","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf","1","87",""
"Q2","2SA1015","TRS80:TO-92_Transistor","http://www.datasheetcatalog.org/datasheet/toshiba/905.pdf","1","88",""
"SW1","SW_Power","TRS80IJP:472131020421","","1","89",""
